linie;bahnhof;fahrzeit_min;lat;lon
GTFS;Gündlkofen;46;48.52616;12.03364
GTFS;Iffeldorf;46;47.78206;11.32902
GTFS;Schwindegg;46;48.27319;12.24970
GTFS;Westerham;46;47.90389;11.82848
GTFS;Grafing Stadt;47;48.04722;11.96276
GTFS;Hausham;47;47.75041;11.84026
GTFS;Murnau;47;47.68227;11.19263
GTFS;Penzberg;47;47.74925;11.37187
GTFS;Arnbach;48;48.34132;11.34404
GTFS;Baar-Ebenhausen;48;48.67494;11.46009
GTFS;Reichersbeuern;48;47.77464;11.63598
GTFS;Moosrain;49;47.76757;11.72055
GTFS;Uffing a Staffelsee;49;47.72015;11.15895
GTFS;Erding;50;48.30346;11.91206
GTFS;Raubling;50;47.78851;12.11015
GTFS;Bruckmühl;51;47.88082;11.91553
GTFS;Ebersberg(Oberbay);51;48.07497;11.97024
GTFS;Erdweg;51;48.33374;11.30330
GTFS;Finsterwald;51;47.75289;11.72818
GTFS;Herrsching;51;47.99885;11.17057
GTFS;Schliersee;51;47.73558;11.85959
GTFS;Thann-Matzbach;51;48.26651;12.04746
GTFS;Bichl;52;47.72382;11.40877
GTFS;Feldolling;52;47.89534;11.85224
GTFS;Bad Tölz;53;47.76058;11.57394
GTFS;Neusäß;53;48.39439;10.83352
GTFS;Türkheim(Bay)Bf;53;48.04569;10.61744
GTFS;Ampfing;54;48.25395;12.41092
GTFS;Heufeldmühle;54;47.87755;11.93436
GTFS;Meitingen;54;48.54600;10.84805
GTFS;Benediktbeuern;55;47.70912;11.40305
GTFS;Brannenburg;55;47.74136;12.10646
GTFS;Gmund(Tegernsee);55;47.74951;11.73487
GTFS;Ingolstadt Nord;55;48.77369;11.43225
GTFS;Kleinberghofen;55;48.35405;11.27548
GTFS;Bad Endorf;56;47.90507;12.30156
GTFS;Gersthofen;56;48.42302;10.86119
GTFS;Hinrichssegen;56;47.87442;11.95066
GTFS;Westheim(Schwab);56;48.38599;10.81823
GTFS;Ergoldsbach;57;48.69387;12.20187
GTFS;Heufeld;57;47.87120;11.96738
GTFS;Walpertskirchen;57;48.26087;11.97042
GTFS;Flintsbach;58;47.72425;12.12802
GTFS;Gaißach;58;47.73747;11.57540
GTFS;Nordendorf;58;48.59343;10.83731
GTFS;Diedorf(Schwab);59;48.35609;10.77682
GTFS;Mindelheim;59;48.04492;10.50163
GTFS;Altomünster;60;48.38492;11.25513
GTFS;Bad Aibling;60;47.86203;12.00416
GTFS;Gablingen;60;48.46342;10.85075
GTFS;Wörth(Isar);60;48.62418;12.33292
GTFS;Hörlkofen;61;48.24259;11.94234
GTFS;Bad Aibling Kurpark;62;47.85762;12.01382
GTFS;Fischhausen-Neuhaus;62;47.70626;11.87328
GTFS;Ingolstadt Audi;62;48.79050;11.40746
GTFS;Obergries;62;47.70754;11.56353
